artist_name,track_name,release_date,genre,lyrics
whitesnake,guilty of love,1984,blues,believe forever testify prisoner heart baby believe tell mean walk away turn guilty crime passion guilty doubt doubt guilty guilty guilty degree guilty guilty guilty degree forget time take give grant stand accuse plead guilty crime lock away want long arm mind throw away guilty crime passion guilty doubt doubt guilty guilty guilty degree guilty guilty guilty degree guilty guilty crime passion guilty doubt doubt guilty guilty guilty degree guilty guilty guilty guilty guilty guilty degree
jimmie vaughan,don't cha know,1994,blues,turn stare mean begin feel urge mind stumble hold like electric zombie barely notice life keep pass remember time wasn like world enslave time like save time weren blind world online actually live instead watch life time time turn stop completely check friends leave jump argument everybody know know certainly lose mind remember time wasn like world enslave time like save time weren blind world online actually live instead watch life time time reconnect disconnect reconnect disconnect reconnect disconnect reconnect disconnect reconnect disconnect reconnect disconnect time weren blind world online actually live instead watch life time time time blind online actually live instead watch life time time reconnect disconnect reconnect disconnect reconnect disconnect reconnect disconnect
eric clapton,believe in life,2001,blues,world see light begin light long believe life happen girls know happen place run time time believe life run time believe life run time believe life believe life believe life believe life
larkin poe,crown of fire,2014,blues,strike steel stir flame punish pain feel blame gonna size overlook pain eye diggin stubborn mule lose lonely fool gonna burn stake strucking steel strucking flame punish pain feel blame get get ask burn heart desire wear crown gotta sacrifice altar right sacrifice gotta gotta gonna burn stake strike steel stir flame punish pain feel blame get get ask burn heart desire wear crown know know know ohohoho know know know ohohoho know know know ohohoho strike steel stir flame burn heart desire wear crown yeah strike steel stir flame punish pain feel blame get get ask burn heart desire wear crown burn hearts desire wear crown
all them witches,hjtc,2018,blues,watch breathe candle life confuse grow fill want stay grow slip gut want ride wave take right open gate lose holy grandeur life misuse grow fill want stay grow slip gut want ride wave take right open gate watch breathe candle life confuse
thee oh sees,lupine dominus,2012,blues,assume mirror crash moon cover head tear blood stand defend beat heart think taste heat taste human face eye drift asleep dismay bury dead story omen head hand feet assume mirror crash moon cover head tear blood stand defend beat heart
the derek trucks band,i wish i knew how it would feel to be free,2004,blues,wish know feel free wish break chain hold wish loud clear round world hear wish share heart remove bar apart wish know feel agree free wish long wish live like long live wish start anew wish like sweet soar look sing cause know free
eric clapton,she's waiting,1985,blues,wait wait wait heart finally find stronger world go fall apart abuse long think pawn ready cause pretty soon go hunger burn fool wrong pretend care hear sing different song wait lover hop time
otis redding,papa's got a brand new bag,1968,blues,come sister papa thing breed thing drag papa brand jerk play cheap know mash potato alligator jump later alligator come sister papa thing breed thing drag papa buy brand come come sight uptight come groove sight papa brand papa papa buy blow blow papa brand soul soul groovin uptight outta sight mister redding yeah twist play cheap know mash potato alligator jump later alligator come sister papa thing breed thing drag papa brand come come jerk jerk hold comin hold comin gotta gotta groovin groovin groovin groovin come sister papa thing breed thing drag mammy brand come comin comin feet head shoulder knee backbone shoulder soul soul soul okay
krokus,heatstrokes,1980,blues,know dirty lover exactly need talkin jokin bedtime action baby plead heatstrokes burnin smoke yeah heatstrokes burnin smoke twice tonight baby need pant tight shelter need fast umbrella spot heatstrokes
johnny winter,i'm good,1986,blues,good know good good know good good good girl know gotta knock good morning good night good even shin bright good know good good good girl gotta knock woman love long tall start love give good know good good good girl gotta knock good instrumental good know good whoah good know good good good girl gotta knock yeah good know good gotta knock good
traffic,roll right stones,1973,blues,winwoodcapaldi till know know know space eye open heavenly death await pearly mesmerize years come go go stand stone circle ancient wear weather tear chill bone see quiet place field green hedgerow lanes countless name thing remain roll right stone space eye open sky march slowly pearly gate mesmerize years come go progress march slowly nature paint hide stain cause everybody go insane thing sustain roll right stone go ancient mound people bury underground long know like hear sound black crow know sight yesteryear steal grain conquer plain thing remain roll right stone music island music right behalf music admin warnertamerlane publish corp
the white stripes,suzy lee,1999,blues,story like tell problem know know speak question alright send flower tear burn inside know hide hide paper question feel feel alright tale speak wish answer know
the black keys,little black submarines,2011,blues,little black submarine operator line tell girl operator wreckin mind voice call lose time see glow everybody know break heart blind break heart blind pick wanna place hide know plan disappear mind voice call lose time see glow everybody know break heart blind break heart blind treasure map fall tree operator time steal friends disease operator patch mind voice call lose time see glow everybody know break heart blind break heart blind break heart blind
b.b. king,sundown,1963,blues,long sundown gotta long sundown gotta goin woman time gonna stay go long time wonder welcome home wonder welcome home go long time things happen leave baby take long time baby knock door realise fool say take long long time baby realise fool wonder
julian sas,life on the line,2012,blues,someday world gonna know treatin life line playin someday world gonna things life line good someday world gonna walk away look life line guess couldn like
ella fitzgerald,little jazz,1958,blues,vocal assizzy bout busy best evacuate land city dopest county dope count go loco nut coconuts like bounty bring flava excellent behavior rap straight paper favor shut wack shit fake plastic spit sound like spastic quit mumble tumble rumble run throw flip punch wonder flick scratch like like little kitten grow tiger outsider hear niger album fiver vitimin lyricism body healthy come brand flava time brand flava vocal assassin kick flava brand flava come brand flava brand flava flow meandisses burn like bromine switch style famous folk scene write bar notepad file little humour like yellow black bile flow wild ferrell skiddly booty like jazz crap last shorter snapchat forget breath catch asthma attack deep breath mind split explode like atom pass baton race think face taste turn waste toss trash cooler land make cash plan blow like afghan come brand flava time brand flava vocal assassin kick flava brand flava come brand flava brand flava vocal assassin dopest universe motherfucker know say tasty shit
uriah heep,high priestess,1971,blues,bring eye wonder disguise high priestess heart tell leave lonely world wonder true high priestess heart tell
the gun club,mother of earth,1984,blues,go river sadness go river pain dark wire hear give highway motel door tire leave leave come darkeyed friend recall soft voice speak speak mother earth blind stay wall sadness grow like weed thighs knees mother earth wind try best eye fade open country
graveyard,the siren,2011,blues,captive slave boat row swamp throw lake alligator eye glow dark fear beasts close panic strike mind swim swim thousand flamingos rid feast gonna meet doom tonight demon come head alright try choke sleep tonight demon come head try choke sleep think feast friends lord prove wrong rescue turn trap suddenly inside demon house climb wall blood murder go eye couldn escape wrong tonight demon come head alright try choke sleep tonight demon come head try choke sleep shape skin sirens seduce song try choke leave sleep demon take soul fear anger face turn white snow blood turn cold legs begin shake gonna demon darkest hour woman bring life hear scream wake dream demon trap inside head tonight demon come head alright try choke dream tonight demon come head try choke dream demon trap inside head siren dream
albert castiglia,hoodoo on me,2017,blues,breathe like smoke taste cuban toke best years hold reverie reverie run time waste run run mind awaken awaken look light hold try lose fear run mind run mind stay tonight better night better run mind run mind run time waste run run mind awaken awaken look light hold try lose fear run mind run mind stay tonight better night better
jimi hendrix,are you experienced?,1967,blues,mind come hold hand watch sunrise experience experience know know probably scream little world measly little world try prove gold sell experience experience prove trumpet violins hear distance think call name maybe hear haha hold hand experience experience necessarily stone beautiful
justin townes earle,am i that lonely tonight?,2012,blues,hear father radio sing home coast skin bone wish away wish lonely tonight know night like hard oncoming headlights mountain mist close comfort stake turn radio roll windows think better dream place feel lonely tonight know think feel lonely tonight lonely tonight lonely tonight know lonely tonight lyric royalty network
stevie ray vaughan,ain't gone 'n' give up on love,1983,blues,go go go go tear cry wash away fear inside go beat heart pound pain beat heart beat vain painful memories bring knees give little tell long midnight cryin whoa cheatin lyin surely pay givin go go go go time free
odetta,santy anno,1954,blues,sail cross river liverpool heave away santy anno horn frisco californio heave away heave away santy anno heave away californio plenty gold tell heave away santy anno plenty gold tell californio heave away heave away santy anno heave away californio days heave away santy anno days good time californio heave away heave away santy anno heave away californio
billie holiday,i can't face the music,1953,blues,breeze stop moanin weird melodies leave face music singin blue rhythm window pane drive insane face music singin blue heart break speak lord sympathy help help deap blue gonna misery leave face music singin blue
santana,stand up,1979,blues,easy affect news hard adjust change bring baby teach real straight ahead face face stand stand feel emotions run wild hold hand tell matter face stand truth baby come stand yeah stand stand stand stand stand stand stand stand yeah stand stand afraid babe good look share fear sorrow come stand yeah stand stand stand stand stand stand stand stand stand stand time plan ahead cause tomorrow look better straight matter face stand truth baby come stand woah stand stand stand stand stand stand stand stand stand stand woah stand stand stand stand stand stand stand stand stand stand
deep purple,hard lovin' woman,1987,blues,walk room hand say look backbone slip straight devil know get take surprise fool knock stuff woman hard love woman chew woman hard love woman woman hard love woman wear smile face lick lips taste temperature rise come boil fire burn pour start smile turn laugh end scream say hear word wouldn woman ought know dance woman hard love woman woman hard love woman woman hard love woman woman hard love woman woman hard hard hard love woman hard love woman
ella fitzgerald,i've got my love to keep me warm,1957,blues,snow snow wind blow weather care warm remember worse december watch icicles form care icicles form warm overcoat glove need overcoat burn heart flame grow higher weather care warm snow snow wind blow weather care warm remember worse december watch icicles form care icicles form baby warm overcoat gloves need overcoat burn heart flame grow higher weather care warm snow snow wind blow weather care warm remember worse december watch icicles form care icicles form warm overcoat gloves need overcoat burn heart flame grow higher weather care warm
bonnie raitt,god was in the water,2006,blues,water pickin root stone trippin sink log tryin presence know water wadin careful step bubble risin feet comin muddy depths castin line castin line shadow castin line bite pitiful desk starin colorless wall wishin place dream fall sittin tiny boat driftin mindless disappear float free castin line castin line darkness castin line bite breathin haunt breeze tryin sound shufflin dry leave circlin like drunken hawk sweepin hungry grind walk castin line castin line darkness castin line bite castin line castin line shadow castin line bite
the white stripes,the big three killed my baby,1999,blues,kill baby money hand kill baby come home ideas want spit dollars go thirtythousand wheel roll stick shift hand swell involve shady kill baby yeah yeah yeah kill baby money hand kill baby come home repair billion care better ideas stick motor run blood tell future electric cause gasoline measure metric thirtythousand wheel spin company face grin hand turn baby dead yeah yeah yeah kill baby money hand kill baby come home say change people burn pocket change creative mind lazy kill baby yeah yeah yeah baby common sense fee plan obsolescence yeah baby common sense fee plan obsolescence yeah blowout yeah blowout
black mountain,evil ways,2008,blues,witchy child spell free imprison demon curse black magic touch easy change evil ways damn know burn sinner chase devil see light escape evil ways sweet lucifer break free easy change evil ways bless lord problem child devil hound hell chase free witch easy change evil ways
al green,the letter,1969,blues,ticket airplane time fast train lonely days go right home baby write letter care money spend home lonely days go right home baby write letter write letter say couldn live listen mister gotta baby ticket airplane time fast train lonely days go home baby write letter write letter say couldn live listen mister gotta baby ticket airplane time fast train lonely days go home baby write letter baby write letter repeat
ella fitzgerald,why was i born?,1963,blues,spend lonesome even live dream dream picture prettiest stories good bear live give want thing wish know draw near hear poor fool bear poor fool bear
the fall,i am damo suzuki,1985,blues,generous valeric jehovah witness stand cologne marktplatz drum come drum come fast drum shock brass evil paper dose vitamin time western medicine damo suzuki fuckup like acid rain jaki karlheinz stockhausen introduce damo suzuki soundtracks soundtracks melched light light listener cahoots lieber read recipe fear salt meine okay time western medicine damo suzuki days previrgin clear vinyl handle brass brass evil wrong cradle hand cradle make gooey damo suzuki latent pattern say damo spirit lesser european speak say damo spirit damo suzuki
robert plant,thru' with the two step,2007,blues,dance close tell money gently slow hold maybe sneakin cut close twostep rhythm lose twostep rhythm lose open door know card table hand deck able word speak right will baby little girl waltz life warmth smile switch swirl swing sway stay till come away stay till come away stay till come away away away cozy baby baby baby away baby baby away baby baby baby
radio birdman,love kills,2001,blues,smoke long cigarettes ash jeans come chicago look cold mean say leave drink tell lie sister place island drive kill mind kill time kill film eye sinkin grey eye singin fall starin hotel window picture drivin detroit metro snow drivin wind grey white road flyin eye heart cold kill time kill mind kill film eye
kenny wayne shepherd,"hey, what do you say",2004,blues,ease awhile maybe learn appreciate smile tryin feel uncomfortable try away want awhile today say tease mess friends need baby slip away think till temporary game gonna play tryin feel uncomfortable try away want say
the animals,loose change,1983,blues,hang boys have make noise look good feel fine number life cocktail pretty girls jaguar say money everybody want movie everybody remember want spend life rub game loose change loose change loose change loose change loose change loose change push pull life get drink beeing stone money home sue sue want money say money everybody want movie everybody remember want spend life rub game loose change loose change loose change loose change loose change loose change yeahhhhhhhhhhh yeah loose change loose change loose change loose change loose change loose change loose change loose change loose change loose change haha loose change loose change loose change loose change loose change loose women bury gold live think want want loose change thing count gonna change loose change
levon helm,blues so bad,1977,blues,mighty weapon swing persevere worst shit deserve dawg work hard nights tummy rumble starve shyt break bread ones start gogh flow yeah shyt garçon black hearts stunt shyt shame front shyt skills stick status niggas novice average observe word scrabble shyt quit babble baffle bafoons gas like helium pop like balloonseasily rare come blue moon room prepare meet doom buggs rhymer pull sword stone watch legend unfold dodge demons tryna capture soul limit want figi water lemon couple women enjoy sinningjust incentives come win battle till inning lead team pennant fame nigga finish claim poll position foot leave peddle till cross finish line scrutinize fake friends tie hat work tell lie advise karma bitch table turn things switch rid wave switch click ditch make sure casket make classic shyt sip wine classy chick ballroom waltz shen shyt spot gun shyt front tell run better run spaceship come galaxxy enterprise rise
sonic youth,pink steam,2006,blues,come come quiver come slip inside babe killer eye burnin heart babe know need love mother open arm girl feel wild heartbeat girl sweet lips flower cream deep surrender pink steam deep need deep lonely lover feel wild heart beat lonely lover open lonely mother sweet lips like flower cream killer killer eye surrender pink steam
robin trower,messin' the blues,1976,blues,long drink life take messin like messin mess blue messin blue messin blue messin blue messin blue lonely days lonely nights tell right baby baby blue cause messin like messin blue messin blue fine little belly gleam question lie blue blue dealin blue dealin blue
dee dee sharp,two loves,1962,blues,forget silly phase go wrong think nono like mean mean fuss tell friends nono picture wall hide nasty stain lyin know know mean nono long time long time long time long time forget silly phase go wrong think
billie holiday,remember,1953,blues,sweet expression smile give look meet easy remember hard forget hear whisper know easy remember hard forget dream hand caress finger press tight dream lonely feel steal night little moment clear bring regret easy remember hard forget
keb' mo',remain silent,2006,blues,stand lyin straight face lawyer alibi sense criminal evidence truth free better right remain silent know guilty walk away remain silent judge jury justice swift punishement crime thing sure time truth free better right remain silent know guilty walk away remain silent need anymore help incriminatin right remain silent know guilty walk away remain silent right remain silent know guilty walk away remain silent right remain silent know guilty walk away remain silentm silent silent
lukas nelson and promise of the real,(forget about) georgia,2016,blues,teach teach teach teach lift limbs focus soon drift night lift limbs focus soon drift night getaway drought cloud life quick escape start drift slumber smoke fill room options cope glimpse hang rope madness embrace vault longer string light blink mesmerize sense pulse keep time options cope glimpse hang rope madness embrace vault longer string light blink mesmerize sense pulse keep lift limbs focus soon drift night lift limbs focus soon drift night teach teach teach teach travel string tear scream crash like wave flush mind world climb wrist enter oblivion oblivion exhale knees crash exhale knees crash rewind teach teach teach teach
phish,sand,2000,blues,heal symptoms affect cause like try heal gunshot wind gauze instead attempt wrest pistol hand able equate life sand flow hourglass push funnel turn race siblings tunnel slide silicone embrace fall bounce land brothers crush wall choose religion worship spirit preach wouldn want hear drop forget languish shame seas blame
mike zito,gone to texas,2013,blues,know dawg time remember things laugh dawg anju blaxx skull unuh thing grow real thugs forget dumpland come yeaaa real thugs worry bout pagan cause destiny plan live long judgment road live sell soul satan bless shame badmind song anju blaxx tell bout coulda life neva easy tread road badness lock globe dream lock globe bring episode shotty dead grade heavy load princey kick touch road skull drop seaforth thursday station report year juvenile haffi pree court school gimme deep throat dumphries touch portmore popskull link scope east lock place sure help family poor real thugs forget dumpland come yeaaa real thugs worry bout pagan cause destiny plan live long judgment road live sell soul satan bless shame badmind song scumpy popcaan diss clap caan hurt heart bamma terro life go pain like python member life go choose regular haffi bredda shoe clothe road link world boss start travel world class badmind believe world fast look rim whip pass spliff dream music dream stay true thugs want neva sell grizzle buzzman real thugs forget dumpland come yeaaa real thugs worry bout pagan cause destiny plan live long judgment road live sell soul satan bless shame badmind song
royal blood,hole in your heart,2017,blues,everytime think shiver like shake talk feel exactly like turn good baby fake know shake start hole heart like start felt burn long smoke tragedy loom horizon hop turn good remember like baby fake know shake start hole heart like start yeah baby fake know shake start hole heart like start baby fake know shake start hole heart like start hole heart like start ooohhhhh ooohhhhh ooohhhhh ooohhhhh
the allman brothers band,maybe we can go back to yesterday,1981,blues,forget time spend wide world forget dream come true cloud roll forget come easy hard yesterday know happen everyday slip finger say beautiful dream drift away lonely teardrop careless hard yesterday baby fall baby fall baby fall maybe yesterday
blues traveler,things are looking up,2012,blues,things look grass turn things look white picket fence things look happiness good league things look remind fiery burn burn wind medicine lose learn learn want care look share promise play fair lonely things look hard rain fall things look pile leave rake things look giveth unto break cause things look remind fiery burn burn wind medicine lose learn learn want care look share promise play fair hand pocket eye grind like cloud walk dream gutter spirit floor dumpster room things look grass turn things look remind fiery burn burn wind medicine lose learn learn want care look share promise play fair
howlin' wolf,forty four,1958,blues,wear long shoulder sore wear long shoulder sore wondrin everybody baby mornin know world mornin know world lookin money pawn gold
black rebel motorcycle club,shuffle your feet,2005,blues,time save souls time save souls time save soul go feel know know know soul mate dreamers wicked peaceful protest keep demand know know probably darling time save souls time save soul time save souls time save soul think come think know know know
eric clapton,had to cry today,2009,blues,write today remember feel outside today place miss take wind eye listen reach want word free today place miss write today remember feel outside today place miss today place miss
the doobie brothers,no stoppin' us now,1980,blues,time think closer need stand line wait hard time stand layin line know sure heartbreak stronger good things long hard time stop hard time stop know bear rhyme rhythm steppin time sittin head shoulder right belong
koko taylor,trying to make a living,1975,blues,stand corner nickel lookin cause tryin live tryin live tryin live best thing gonna pawn coat gonna pawn shoe gonna pawn clothe gonna pawn watch gonna pawn ring tellin people pawn cause tryin live tryin live yeah tryin live best thing tryin live tryin live yeah tryin live tryin live tryin live best thing right gonna pawn coat gonna pawn shoe gonna pawn clothe gonna pawn watch gonna pawn ring tellin people pawn cause tryin live tryin live yeah tryin live best thing cause tryin live tryin live yeah tryin live tryin live tryin live best thing
jimi hendrix,sunshine of your love,1998,blues,get near light close tire eye soon surprise darling soon star start fall wait long go light shin morning stay darling stay till seas dry wait long go wait long go light shin morning stay darling stay till seas dry wait long wait long wait long go
nina simone,tomorrow (we will meet once more),1959,blues,silverman fairest trinidad wander sailor steal heart tomorrow tomorrow meet village square darlin moon young hearts hear know heart stay tomorrow tomorrow meet village square darlin heart sail hear sigh come wind wave whisper mournfully tomorrow tomorrow meet village square darlin tomorrow tomorrow tomorrow tomorrow
jonny lang,breakin' me,1998,blues,face wish stay know away play game emotional word explain knees baby want makin girl breakin half stand feel like lose happiness want thinkin bout girl nothin leave hold lonely world guitar solo time heart touch lose feel flesh flesh blood soul live time know lose believe understand desperate breakin breakin
helen humes,if i could be with you one hour tonight,1987,blues,hour tonight free things want know wouldn tell baby long night long tell true blue hour hour tonight free things dear want know wouldn tell baby long night long tell true blue hour
ella fitzgerald,all too soon,1957,blues,soon moment touch heart go dream soon sweet affair sweetness shame go soon know strange delight bring reach heights fell know deserve whisper goodbye soon soon
thee oh sees,poisoned stones,2019,blues,operation night suit eye lay basement awake night alright bake wasteland night suit eye stand corner night want alright bathroom right maybe come shoot silent ceiling puddle floor knock door
joe bonamassa,molly o',2018,blues,ship fool sail wasn long till aground hear cry hear wail sound thousand souls take gently delve darkness cold like ghost past raise glass highest tide rise bear east glanmire sleepy irish suitcase redemption ticket ship go distress signal send twentytwo surge wall water turn graveyard blue like ghost past raise glass highest tide rise ship fool sail long till run aground hear mamas weep halifax london dance sacred wall watch black water rise ocean dead inside like ghost past raise glass lie truth fell roll gotta rise fall highest tide rise
jeff beck,full moon boogie,1977,blues,hand hand burn tell noise moon boogie night long night long yeah night long moon boogie night long yeah girl moon boogie know mean girl tomorrow green whoa yeah hand hand moon boogie moon boggie night long night yeah moon boogie ooooh yeah ooooh moon boogie moon night long night long yeah till come moon boogie night long water rise tide good moon ride moon boogie night long yeah night long baby moon boogie night long moon boogie know mean girl tormorrow green
billie holiday,yesterdays,1953,blues,yesterdays yesterdays days know sweet sequester days olden days golden days days romance youth truth free flame life sooth today dreamin yesterdays yesterdays yesterdays days know sweet sequester days olden days golden days days romance youth truth free flame life sooth today dreamin yesterdays
b.b. king,losing faith in you,1968,blues,time believe wrong change know true lose till blind believe cheatin mind change know true lose give heart give ask return baby thinkin pay learn suffer find baby care change know true lose change change lose lose lose
dave van ronk,samson and delilah,1989,blues,read read birth strongest walk earth wasawalkin look grind jawbone raise bone know head tenthousand dead wicked world tear build attack climb read kill paw hand jaw ride beast kill dead be head wicked world tear build woman fine fair lovely look know coal black hair come mind woman philistines climb knee say tell strength lie talk fine know talk fair say shave hair shave hair clean hand strength natural wicked world tear build wicked world tear build
mountain,beside the sea,2009,blues,place mountains right base stream water fountains cold endless breeze temperature minus degrees snow peak sunset oblique polar bear speak gather midweek colourful contrast winter overcast season pass island fast past happen world avast
blue öyster cult,mistress of the salmon salt (quicklime girl),1973,blues,garden district plant grow strong tall bush lurk girl make strong tall villagers quicklime girl quicklime girl bush quicklime girl mistress salt quicklime girl quicklime girl quicklime girl fall plant return harvest time know score ripe ready rotten core quicklime girl quicklime girl bush quicklime girl mistress salt quicklime girl quicklime girl quicklime girl harvest life harvest death body life body death go choke death laughter little step prepare quicklime friend ripe ready grave ripe ready grave grave springtime care subside plannings fertile grave exist mile juke joint coast guard crew leave listless quicklime girl ply trade reduction quicklime girl quicklime girl bush quicklime girl mistress salt quicklime girl quicklime girl quicklime girl harvest life harvest death resume course come schedule harvest limbs arm legs toe crawl knees jerk neck like swan turn incline gasp pray
billie holiday,the way you look tonight,1996,blues,someday awfully world cold feel glow think look tonight lovely smile warm cheek soft look tonight word tenderness grow tear fear apart laugh wrinkle nose touch foolish heart lovely change breathless charm arrange cause look tonight
1000mods,road to burn,2011,blues,give expect follow cause feel lone burn water realize feel lone cigarette hand sun today shin head eye blind understand realize self cigarette hand cigarette dead
hot tuna,funky #7,1975,blues,walk talk breathe try smile death finger pulse time time rest simple proposal walk line try borrow time moral story limit crew gonna choose tomorrow scene easy turn money green promise future wrong line walk keep take long rainbow morning follow gonna live tomorrow like live today borrow look stay
alice cooper,zorro's ascent,1982,blues,lie die spanish women cry especially pretty ones sword come gun steal steal lot reach pocket padre hide gold pouch skinny peons fee liberate aristocrat pray father need bother cause want heaven ignore devil adore want padre years don mask minutes leave cunning fetch sword horse ride death diablo pray father need bother cause want heaven ignore devil adore want death run closer disadvantage lose race hand deadliest wine taste burn carve face pray father need bother cause want satan annoy heaven employ cause want
sonic youth,sacred trickster,2009,blues,want levitate press turn treble forget get dizzy sit sacred trickster tech sound wish music tree noise nomads levitate grind whats like girl band understand quaint hear feel faint dear get dizzy sit sacred trickster tech sound wish music tree noise nomads levitate grind
manfred mann's earth band,drowning on dry land/fish soup,1978,blues,sit silent room wall scream rely stand light dark watch mirror gleam shine show drown land cast adrift drown land aside strand break story end tell hear stand word silent room sing change drown land cast adrift drown land aside
the kills,baby says,2011,blues,baby say die meet blood tremble like fairground light baby say skin fair eye deep black know lie baby say howl romance sleep dog thugs baby say forsake noise mess make time take baby say death silver curl break jail send dive pearl care world baby say die meet blood tremble like pinball light baby say howl romance sleep dog thugs
willie clayton,wiggle,2006,blues,brand song little somethin school boogie know like fast slow wiggle middle yeah floor party gonna start step step wiggle middle step leave step right wiggle middle yeah ride yeah sexy ladies go tonight fellas groovin alright money pocket water come right place wanna party time party gonna start ride ride yeah yeah yeah ride ride ride want wanna bounce booty shake booty funky chicken mash potata want cool jerk somethin school party like bounce bounce wiggle middle bounce leave bounce right wiggle middle brand song little somethin school boogie like sexy ladies go tonight
phish,vultures,2011,blues,blind ambition like razor throat cast aside foolish pride cast final vote feel wait claw skin look vultures move time know faster slow days vacation days tell come line expect look clock watch pass reason rhyme feel suspend time repeat replace line vultures move repeat fish repeat phrase feel suspend time
ronnie earl,southside stomp,2017,blues,wake morning feel good feel good best wonderful feel express wanna share feel mountain enjoy morning mountain have mountain till even come mountain pleasure feel freedom feel feel feel mountain clean water flow mountain cool wind blow mountain snow mountain glow feel power feel feel feel soul sweet sensation nature provision addict sure commit feel good feel feel feel happier freer free free free feel freedom deep soul feel feel feel ocean have effortless swim sound wave make wanna sing world have ride life wonderful ride make wanna shout feel power deep soul feel feel feel soul feel feel feel
leon russell,this masquerade,1972,blues,lonely game play look word search find understand lose masquerade afraid away close start try talk word lose inside lonely game play thoughts leave disappear time eye matter hard understand reason lose masquerade start hard lose masquerade
ella fitzgerald,thou swell,1956,blues,thou swell thou thou sweet thou grand wouldst kiss pretty wouldst hold hand thine eye cute hear holler choose sweet lollapaloosa thee feel room kitchen sure plot land thou swell thou thou grand
the arcs,pistol made of bones,2015,blues,shoot pistol bone bullets stone earth fuel flame blame shoot pistol bone shooter mean mighty ghost yeah hat love ones fear near shoot pistol bone blind time ones fear near shoot shoot pistol bone
wilbert harrison,please forgive me,1959,blues,right rid breeze right live life right best right long lend hand phone ring wait tell wonder tomorrow bring maybe ring right wrong right gotta strong right long right everyday judgement maybe road away think wonder days maybe road somebody play purple haze right push come shove right right work fine right go line ashamed drive alive matter satisfy right grey right right remember live live right best forgive right rid breeze right live life right shine right go line
